taskId,type,product,team,startTime,endTime,duration,mechanics,shift,priority,dependencies,isLatePartTask,isReworkTask,isCritical,slackHours,Scenario,MaxLateness,TotalLateness,InstanceBased
Product E_1,Production,Product E,Mechanic Team 1,2025-08-22T06:00:00,2025-08-22T06:30:00,30,1,1st,1,[],False,False,False,505.2,baseline,-7,0,True
RW_410,Rework,Product A,Mechanic Team 3,2025-08-22T06:00:00,2025-08-22T07:40:00,100,2,1st,2,[],False,True,False,640.5,baseline,-7,0,True
RW_401,Rework,Product E,Mechanic Team 1,2025-08-22T06:00:00,2025-08-22T07:00:00,60,2,1st,3,[],False,True,False,659.95,baseline,-7,0,True
RW_404,Rework,Product D,Mechanic Team 3,2025-08-22T06:00:00,2025-08-22T06:30:00,30,1,1st,4,[],False,True,False,811.0,baseline,-7,0,True
RW_407,Rework,Product C,Mechanic Team 1,2025-08-22T06:00:00,2025-08-22T06:50:00,50,1,1st,5,[],False,True,False,817.45,baseline,-7,0,True
Product D_29,Production,Product D,Mechanic Team 5,2025-08-22T06:00:00,2025-08-22T06:40:00,40,1,1st,6,[],False,False,False,818.45,baseline,-7,0,True
Product C_58,Production,Product C,Mechanic Team 5,2025-08-22T06:00:00,2025-08-22T07:00:00,60,2,1st,7,[],False,False,False,833.5,baseline,-7,0,True
RW_408,Rework,Product C,Mechanic Team 1,2025-08-22T06:00:00,2025-08-22T06:40:00,40,1,1st,8,[],False,True,False,856.5,baseline,-7,0,True
Product D_26,Production,Product D,Mechanic Team 1,2025-08-22T06:00:00,2025-08-22T07:00:00,60,2,1st,9,[],False,False,False,863.7,baseline,-7,0,True
Product D_31,Production,Product D,Mechanic Team 1,2025-08-22T06:00:00,2025-08-22T06:30:00,30,1,1st,10,[],False,False,False,869.7,baseline,-7,0,True
RW_402,Rework,Product E,Mechanic Team 1,2025-08-22T06:00:00,2025-08-22T06:45:00,45,1,1st,11,[],False,True,False,904.5,baseline,-7,0,True
RW_405,Rework,Product D,Mechanic Team 3,2025-08-22T06:00:00,2025-08-22T07:15:00,75,2,1st,12,[],False,True,False,1000.5,baseline,-7,0,True
RW_QI_404,Quality Inspection,Product D,Quality Team 3,2025-08-22T06:30:00,2025-08-22T07:00:00,30,1,1st,13,[],False,False,False,812.0,baseline,-7,0,True
Product D_41,Production,Product D,Mechanic Team 1,2025-08-22T06:40:00,2025-08-22T07:00:00,20,1,1st,14,[],False,False,False,869.0333333333333,baseline,-7,0,True
Product D_44,Production,Product D,Mechanic Team 5,2025-08-22T06:45:00,2025-08-22T08:15:00,90,3,1st,15,[],False,False,False,895.75,baseline,-7,0,True
RW_QI_402,Quality Inspection,Product E,Quality Team 1,2025-08-22T06:45:00,2025-08-22T07:15:00,30,1,1st,16,[],False,False,False,905.25,baseline,-7,0,True
Product D_36,Production,Product D,Mechanic Team 1,2025-08-22T06:45:00,2025-08-22T08:15:00,90,3,1st,17,[],False,False,False,926.7,baseline,-7,0,True
Product C_61,Production,Product C,Mechanic Team 1,2025-08-22T06:50:00,2025-08-22T07:30:00,40,1,1st,18,[],False,False,False,791.6666666666666,baseline,-7,0,True
RW_QI_407,Quality Inspection,Product C,Quality Team 1,2025-08-22T06:50:00,2025-08-22T07:20:00,30,1,1st,19,[],False,False,False,818.1166666666667,baseline,-7,0,True
