task_id,task_type,display_name,product_line,affected_products,team,scheduled_start,scheduled_end,duration_minutes,mechanics_required,slack_hours,priority_score,shift,global_priority
1,Production,Task 1,Product E,['Product E'],Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,505.2,44514.0,1st,1
410,Rework,Rework 410 (Product A),Product A,['Product A'],Mechanic Team 3,2025-08-22 06:00:00,2025-08-22 07:40:00,100,2,597.0,-1000.0,1st,2
6,Production,Task 6,Product E,['Product E'],Mechanic Team 3,2025-08-22 06:00:00,2025-08-22 07:30:00,90,2,623.7,45177.0,1st,3
402,Rework,Rework 402 (Product E),Product E,['Product E'],Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:45:00,45,1,655.45,-1000.0,1st,4
23,Production,Task 23,Product E,['Product E'],Mechanic Team 5,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,659.95,47064.0,1st,5
9,Production,Task 9,Product E,['Product E'],Mechanic Team 3,2025-08-22 06:00:00,2025-08-22 06:50:00,50,1,721.2,47655.0,1st,6
17,Production,Task 17,Product E,['Product E'],Mechanic Team 5,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,740.5,48114.0,1st,7
50,Production,Task 50,Product C,"['Product D', 'Product E', 'Product C']",Mechanic Team 3,2025-08-22 06:00:00,2025-08-22 07:00:00,60,2,749.5,47903.0,1st,8
19,Production,Task 19,Product E,['Product E'],Mechanic Team 5,2025-08-22 06:00:00,2025-08-22 06:20:00,20,1,755.75,48241.0,1st,9
52,Production,Task 52,Product C,"['Product D', 'Product E', 'Product C']",Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 07:30:00,90,3,798.75,48572.0,1st,10
44,Production,Task 44,Product E,"['Product D', 'Product E']",Mechanic Team 5,2025-08-22 06:00:00,2025-08-22 07:30:00,90,3,800.5,47867.0,1st,11
405,Rework,Rework 405 (Product D),Product D,['Product D'],Mechanic Team 3,2025-08-22 06:00:00,2025-08-22 07:15:00,75,2,808.0,-1000.0,1st,12
408,Rework,Rework 408 (Product C),Product C,['Product C'],Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:40:00,40,1,813.45,-1000.0,1st,13
72,Production,Task 72,Product C,"['Product D', 'Product E', 'Product C']",Mechanic Team 5,2025-08-22 06:00:00,2025-08-22 08:00:00,120,4,827.25,49241.0,1st,14
46,Production,Task 46,Product E,"['Product D', 'Product E']",Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 07:00:00,60,2,833.7,49093.0,1st,15
29,Production,Task 29,Product E,"['Product D', 'Product E']",Mechanic Team 5,2025-08-22 06:30:00,2025-08-22 07:10:00,40,1,721.95,47302.0,1st,16
34,Production,Task 34,Product E,"['Product D', 'Product E']",Mechanic Team 5,2025-08-22 06:30:00,2025-08-22 07:30:00,60,2,802.25,48248.0,1st,17
68,Production,Task 68,Product C,"['Product D', 'Product E', 'Product C']",Mechanic Team 1,2025-08-22 06:30:00,2025-08-22 08:00:00,90,3,833.0,49247.0,1st,18
101,Quality Inspection,QI for Task 1,Unknown,[],Quality Team 1,2025-08-22 06:30:00,2025-08-22 07:15:00,45,1,inf,-2000.0,1st,19
10408,Quality Inspection,QI for Task 408,Product C,['Product C'],Quality Team 1,2025-08-22 06:40:00,2025-08-22 07:10:00,30,1,814.2833333333333,-2000.0,1st,20
10402,Quality Inspection,QI for Task 402,Product E,['Product E'],Quality Team 1,2025-08-22 06:45:00,2025-08-22 07:15:00,30,1,656.2,-2000.0,1st,21
90,Production,Task 90,Product A,"['Product D', 'Product E', 'Product C', 'Product A', 'Product B']",Mechanic Team 3,2025-08-22 06:50:00,2025-08-22 07:50:00,60,2,633.6666666666666,50688.0,1st,22
