task_instance_id,task_type,display_name,display_name_with_criticality,criticality,product_line,original_task_id,team,scheduled_start,scheduled_end,duration_minutes,mechanics_required,slack_hours,slack_days,priority_score,shift,global_priority
RW_402,Rework,Product E Rework RW_402,🔴 Product E Rework RW_402 [CRITICAL],CRITICAL,Product E,RW_402,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:45:00,45,1,0.0,0.0,1520.0,1st,1
Product B_1,Production,Product B Task 1,🔴 Product B Task 1 [CRITICAL],CRITICAL,Product B,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,0.0,0.0,44139.0,1st,2
Product A_1,Production,Product A Task 1,🔴 Product A Task 1 [CRITICAL],CRITICAL,Product A,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,0.0,0.0,44159.0,1st,3
Product C_1,Production,Product C Task 1,🔴 Product C Task 1 [CRITICAL],CRITICAL,Product C,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,0.0,0.0,44179.0,1st,4
Product D_1,Production,Product D Task 1,🔴 Product D Task 1 [CRITICAL],CRITICAL,Product D,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,0.0,0.0,44199.0,1st,5
Product E_1,Production,Product E Task 1,🟡 Product E Task 1 [BUFFER],BUFFER,Product E,1,Mechanic Team 1,2025-08-22 06:00:00,2025-08-22 06:30:00,30,1,71.5,2.9791666666666665,44239.0,1st,6
Product B_QI_101,Quality Inspection,Product B QI for Task 1,🔴 Product B QI for Task 1 [CRITICAL],CRITICAL,Product B,101,Quality Team 1,2025-08-22 06:30:00,2025-08-22 07:15:00,45,1,0.0,0.0,44138.0,1st,7
Product A_QI_101,Quality Inspection,Product A QI for Task 1,🔴 Product A QI for Task 1 [CRITICAL],CRITICAL,Product A,101,Quality Team 1,2025-08-22 06:30:00,2025-08-22 07:15:00,45,1,0.0,0.0,44158.0,1st,8
Product C_QI_101,Quality Inspection,Product C QI for Task 1,🔴 Product C QI for Task 1 [CRITICAL],CRITICAL,Product C,101,Quality Team 1,2025-08-22 06:30:00,2025-08-22 07:15:00,45,1,7.25,0.3020833333333333,44178.0,1st,9
Product D_QI_101,Quality Inspection,Product D QI for Task 1,🔴 Product D QI for Task 1 [CRITICAL],CRITICAL,Product D,101,Quality Team 1,2025-08-22 06:30:00,2025-08-22 07:15:00,45,1,7.25,0.3020833333333333,44198.0,1st,10
QI_RW_402,Quality Inspection,Product E QI for Task RW_402,🔴 Product E QI for Task RW_402 [CRITICAL],CRITICAL,Product E,QI_RW_402,Quality Team 1,2025-08-22 06:45:00,2025-08-22 07:15:00,30,1,0.0,0.0,1519.0,1st,11
RW_401,Rework,Product E Rework RW_401,🔴 Product E Rework RW_401 [CRITICAL],CRITICAL,Product E,RW_401,Mechanic Team 1,2025-08-22 07:15:00,2025-08-22 08:15:00,60,2,0.0,0.0,1520.0,1st,12
Product B_CC_601,Customer,Product B Task CC_601,🔴 Product B Task CC_601 [CRITICAL],CRITICAL,Product B,CC_601,Customer Team 1,2025-08-22 07:15:00,2025-08-22 08:00:00,45,1,0.0,0.0,44511.0,1st,13
Product A_CC_601,Customer,Product A Task CC_601,🔴 Product A Task CC_601 [CRITICAL],CRITICAL,Product A,CC_601,Customer Team 1,2025-08-22 07:15:00,2025-08-22 08:00:00,45,1,0.0,0.0,44531.0,1st,14
